Actual_MPG,Cylinders,Engine_Disp,Horsepower,Weight,Origin_European,Origin_Japanese
15.0,8,390.0,190,3850,0,0
21.0,6,199.0,90,2648,0,0
18.0,6,199.0,97,2774,0,0
16.0,8,304.0,150,3433,0,0
14.0,8,455.0,225,3086,0,0
15.0,8,350.0,165,3693,0,0
18.0,8,307.0,130,3504,0,0
14.0,8,454.0,220,4354,0,0
15.0,8,400.0,150,3761,0,0
10.0,8,307.0,200,4376,0,0
15.0,8,383.0,170,3563,0,0
11.0,8,318.0,210,4382,0,0
10.0,8,360.0,215,4615,0,0
15.0,8,429.0,198,4341,0,0
21.0,6,200.0,85,2587,0,0
17.0,8,302.0,140,3449,0,0
9.0,8,304.0,193,4732,0,0
14.0,8,340.0,160,3609,0,0
22.0,6,198.0,95,2833,0,0
14.0,8,440.0,215,4312,0,0
18.0,8,318.0,150,3436,0,0
14.0,8,455.0,225,4425,0,0
24.0,4,107.0,90,2430,1,0
26.0,4,121.0,113,2234,1,0
25.0,4,110.0,87,2672,1,0
25.0,4,104.0,95,2375,1,0
26.0,4,97.0,46,1835,1,0
27.0,4,97.0,88,2130,0,1
24.0,4,113.0,95,2372,0,1
19.0,6,232.0,100,2634,0,0
18.0,6,258.0,110,2962,0,0
18.0,6,232.0,100,3288,0,0
17.0,6,250.0,100,3329,0,0
14.0,8,350.0,165,4209,0,0
22.0,4,140.0,72,2408,0,0
28.0,4,140.0,90,2264,0,0
12.0,8,383.0,180,4955,0,0
13.0,8,400.0,170,4746,0,0
14.0,8,351.0,153,4154,0,0
18.0,6,250.0,88,3139,0,0
19.0,6,250.0,88,3302,0,0
23.0,4,122.0,86,2220,0,0
26.0,4,91.0,70,1955,0,0
14.0,8,318.0,150,4096,0,0
16.0,6,225.0,105,3439,0,0
14.0,8,400.0,175,4464,0,0
19.0,6,250.0,100,3282,0,0
13.0,8,400.0,175,5140,0,0
30.0,4,88.0,76,2065,1,0
28.0,4,116.0,90,2123,1,0
30.0,4,79.0,70,2074,1,0
27.0,4,97.0,60,1834,1,0
35.0,4,72.0,69,1613,0,1
27.0,4,97.0,88,2130,0,1
31.0,4,71.0,65,1773,0,1
25.0,4,113.0,95,2228,0,1
17.0,8,304.0,150,3672,0,0
15.0,8,304.0,150,3892,0,0
13.0,8,350.0,155,4502,0,0
13.0,8,307.0,130,4098,0,0
13.0,8,350.0,165,4274,0,0
20.0,4,140.0,90,2408,0,0
13.0,8,400.0,190,4422,0,0
28.0,4,98.0,80,2164,0,0
25.0,4,97.5,80,2126,0,0
14.0,8,351.0,153,4129,0,0
13.0,8,302.0,140,4294,0,0
22.0,4,122.0,86,2395,0,0
21.0,4,122.0,86,2226,0,0
11.0,8,429.0,208,4633,0,0
12.0,8,350.0,160,4456,0,0
15.0,8,318.0,150,4135,0,0
14.0,8,318.0,150,4077,0,0
14.0,8,400.0,175,4385,0,0
21.0,4,120.0,87,2979,1,0
26.0,4,96.0,69,2189,1,0
22.0,4,121.0,76,2511,1,0
23.0,4,97.0,54,2254,1,0
18.0,4,121.0,112,2933,1,0
28.0,4,97.0,92,2288,0,1
19.0,3,70.0,97,2330,0,1
27.0,4,97.0,88,2100,0,1
24.0,4,113.0,95,2278,0,1
23.0,4,120.0,97,2506,0,1
13.0,8,360.0,175,3821,0,0
18.0,6,232.0,100,2789,0,0
18.0,6,232.0,100,2945,0,0
14.0,8,304.0,150,3672,0,0
13.0,8,350.0,175,4100,0,0
12.0,8,455.0,225,4951,0,0
13.0,8,400.0,150,4464,0,0
11.0,8,400.0,150,4997,0,0
13.0,8,350.0,145,3988,0,0
15.0,8,350.0,145,4082,0,0
16.0,6,250.0,100,3278,0,0
21.0,4,140.0,72,2401,0,0
13.0,8,440.0,215,4735,0,0
15.0,8,318.0,150,3777,0,0
15.0,8,318.0,150,3399,0,0
12.0,8,400.0,167,4906,0,0
14.0,8,302.0,137,4042,0,0
13.0,8,351.0,158,4363,0,0
18.0,6,250.0,88,3021,0,0
19.0,4,122.0,85,2310,0,0
21.0,6,155.0,107,2472,0,0
12.0,8,429.0,198,4952,0,0
11.0,8,350.0,180,3664,0,0
12.0,8,350.0,180,4499,0,0
13.0,8,360.0,170,4654,0,0
23.0,6,198.0,95,2904,0,0
14.0,8,318.0,150,4237,0,0
18.0,6,225.0,105,3121,0,0
16.0,8,400.0,230,4278,0,0
20.0,4,114.0,91,2582,1,0
26.0,4,98.0,90,2265,1,0
29.0,4,68.0,49,1867,1,0
24.0,4,116.0,75,2158,1,0
24.0,4,121.0,110,2660,1,0
26.0,4,97.0,46,1950,1,0
19.0,4,121.0,112,2868,1,0
22.0,4,108.0,94,2379,0,1
18.0,3,70.0,90,2124,0,1
20.0,4,97.0,88,2279,0,1
20.0,6,156.0,122,2807,0,1
19.0,6,232.0,100,2901,0,0
16.0,6,258.0,110,3632,0,0
14.0,8,304.0,150,4257,0,0
13.0,8,350.0,150,4699,0,0
16.0,6,250.0,100,3781,0,0
15.0,6,250.0,100,3336,0,0
25.0,4,140.0,75,2542,0,0
28.0,4,90.0,75,2125,0,0
14.0,8,318.0,150,4457,0,0
16.0,8,302.0,140,4141,0,0
14.0,8,302.0,140,4638,0,0
26.0,4,122.0,80,2451,0,0
20.0,6,198.0,95,3102,0,0
18.0,6,225.0,105,3613,0,0
29.0,4,98.0,83,2219,1,0
26.0,4,116.0,75,2246,1,0
24.0,4,90.0,75,2108,1,0
31.0,4,79.0,67,2000,1,0
26.0,4,97.0,78,2300,1,0
26.0,4,79.0,67,1963,1,0
32.0,4,83.0,61,2003,0,1
31.0,4,79.0,67,1950,0,1
24.0,4,120.0,97,2489,0,1
26.0,4,108.0,93,2391,0,1
32.0,4,71.0,65,1836,0,1
31.0,4,76.0,52,1649,0,1
20.0,6,232.0,100,2914,0,0
15.0,6,258.0,110,3730,0,0
19.0,6,232.0,90,3211,0,0
17.0,6,231.0,110,3907,0,0
21.0,6,231.0,110,3039,0,0
16.0,6,250.0,105,3897,0,0
15.0,8,350.0,145,4440,0,0
20.0,8,262.0,110,3221,0,0
18.0,6,250.0,105,3459,0,0
14.0,8,351.0,148,4657,0,0
15.0,6,250.0,72,3158,0,0
13.0,8,302.0,129,3169,0,0
23.0,4,140.0,83,2639,0,0
18.0,6,171.0,97,2984,0,0
15.0,6,250.0,72,3432,0,0
18.0,6,225.0,95,3785,0,0
16.0,8,318.0,150,4498,0,0
19.0,6,225.0,95,3264,0,0
23.0,4,140.0,78,2592,0,0
16.0,8,400.0,170,4668,0,0
23.0,4,115.0,95,2694,1,0
23.0,4,120.0,88,2957,1,0
25.0,4,121.0,115,2671,1,0
25.0,4,90.0,71,2223,1,0
29.0,4,90.0,70,1937,1,0
22.0,4,121.0,98,2945,1,0
24.0,4,119.0,97,2545,0,1
33.0,4,91.0,53,1795,0,1
29.0,4,97.0,75,2171,0,1
24.0,4,134.0,96,2702,0,1
22.5,6,232.0,90,3085,0,0
15.5,8,304.0,120,3962,0,0
17.5,6,258.0,95,3193,0,0
16.5,8,350.0,180,4380,0,0
25.0,4,140.0,92,2572,0,0
17.5,8,305.0,140,4215,0,0
29.0,4,85.0,52,2035,0,0
22.0,6,250.0,105,3353,0,0
24.5,4,98.0,60,2164,0,0
13.0,8,350.0,145,4055,0,0
20.0,6,225.0,100,3651,0,0
26.0,4,98.0,79,2255,0,0
16.0,8,318.0,150,4190,0,0
13.0,8,318.0,150,3755,0,0
13.0,8,302.0,130,3870,0,0
14.5,8,351.0,152,4215,0,0
18.0,6,250.0,78,3574,0,0
24.0,6,200.0,81,3012,0,0
26.5,4,140.0,72,2565,0,0
22.0,6,225.0,100,3233,0,0
13.0,8,318.0,150,3940,0,0
18.5,6,250.0,110,3645,0,0
28.0,4,107.0,86,2464,1,0
16.5,6,168.0,120,3820,1,0
25.0,4,116.0,81,2220,1,0
19.0,4,120.0,88,3270,1,0
27.0,4,101.0,83,2202,1,0
29.5,4,97.0,71,1825,1,0
20.0,4,130.0,102,3150,1,0
29.0,4,90.0,70,1937,1,0
32.0,4,85.0,70,1990,0,1
33.0,4,91.0,53,1795,0,1
28.0,4,97.0,75,2155,0,1
19.0,6,156.0,108,2930,0,1
30.0,4,111.0,80,2155,0,0
20.5,6,231.0,105,3425,0,0
17.5,8,305.0,145,3880,0,0
30.5,4,98.0,63,2051,0,0
17.5,6,250.0,110,3520,0,0
15.5,8,350.0,170,4165,0,0
15.5,8,400.0,190,4325,0,0
33.5,4,98.0,83,2075,0,0
15.5,8,318.0,145,4140,0,0
18.5,6,250.0,98,3525,0,0
25.5,4,140.0,89,2755,0,0
16.0,8,351.0,149,4335,0,0
15.0,8,302.0,130,4295,0,0
17.0,8,260.0,110,4060,0,0
25.5,4,122.0,96,2300,0,0
19.0,6,225.0,100,3630,0,0
16.0,8,400.0,180,4220,0,0
24.5,4,151.0,88,2740,0,0
21.5,4,121.0,110,2600,1,0
36.0,4,79.0,58,1825,1,0
30.5,4,97.0,78,2190,1,0
29.0,4,97.0,78,1940,1,0
22.0,6,146.0,97,2815,0,1
33.5,4,85.0,70,1945,0,1
31.5,4,98.0,68,2045,0,1
21.5,3,80.0,110,2720,0,1
30.0,4,97.0,67,1985,0,1
26.0,4,97.0,75,2265,0,1
19.4,6,232.0,90,3210,0,0
18.1,6,258.0,120,3410,0,0
20.6,6,231.0,105,3380,0,0
17.7,6,231.0,165,3445,0,0
30.0,4,98.0,68,2155,0,0
20.5,6,200.0,95,3155,0,0
19.2,8,305.0,145,3425,0,0
18.6,6,225.0,110,3620,0,0
19.4,8,318.0,140,3735,0,0
17.5,8,318.0,140,4080,0,0
30.9,4,105.0,75,2230,0,0
20.2,6,200.0,85,2965,0,0
25.1,4,140.0,88,2720,0,0
36.1,4,98.0,66,1800,0,0
18.1,8,302.0,139,3205,0,0
20.2,8,302.0,139,3570,0,0
20.8,6,200.0,85,3070,0,0
19.9,8,260.0,110,3365,0,0
23.8,4,151.0,85,2855,0,0
23.2,4,156.0,105,2745,0,0
20.5,6,225.0,100,3430,0,0
19.2,6,231.0,105,3535,0,0
20.3,5,131.0,103,2830,1,0
16.2,6,163.0,133,3410,1,0
21.6,4,121.0,115,2795,1,0
43.1,4,90.0,48,1985,1,0
31.5,4,89.0,71,1990,1,0
17.0,6,163.0,125,3140,1,0
23.9,4,119.0,97,2405,0,1
27.2,4,119.0,97,2300,0,1
39.4,4,85.0,70,2070,0,1
29.5,4,98.0,68,2135,0,1
36.1,4,91.0,60,1800,0,1
32.8,4,78.0,52,1985,0,1
21.1,4,134.0,95,2515,0,1
27.5,4,134.0,95,2560,0,1
20.2,6,232.0,90,3265,0,0
27.4,4,121.0,80,2670,0,0
16.9,8,350.0,155,4360,0,0
28.4,4,151.0,90,2670,0,0
23.0,8,350.0,125,3900,0,0
17.0,8,305.0,130,3840,0,0
28.8,6,173.0,115,2595,0,0
19.2,8,267.0,125,3605,0,0
18.5,8,360.0,150,3940,0,0
20.6,6,225.0,110,3360,0,0
35.7,4,98.0,80,1915,0,0
18.2,8,318.0,135,3830,0,0
15.5,8,351.0,142,4054,0,0
22.3,4,140.0,88,2890,0,0
17.6,8,302.0,129,3725,0,0
16.5,8,351.0,138,3955,0,0
19.8,6,200.0,85,2990,0,0
23.9,8,260.0,90,3420,0,0
26.8,6,173.0,115,2700,0,0
34.2,4,105.0,70,2200,0,0
34.5,4,105.0,70,2150,0,0
21.5,6,231.0,115,3245,0,0
33.5,4,151.0,90,2556,0,0
37.3,4,91.0,69,2130,1,0
25.4,5,183.0,77,3530,1,0
27.2,4,141.0,71,3190,1,0
31.9,4,89.0,71,1925,1,0
31.8,4,85.0,65,2020,0,1
34.1,4,86.0,65,1975,0,1
24.3,4,151.0,90,3003,0,0
32.1,4,98.0,70,2120,0,0
28.0,4,151.0,90,2678,0,0
19.1,6,225.0,90,3381,0,0
27.9,4,156.0,105,2800,0,0
26.4,4,140.0,88,2870,0,0
34.3,4,97.0,78,2188,1,0
36.4,5,121.0,67,2950,1,0
30.0,4,146.0,67,3250,1,0
35.0,4,122.0,88,2500,1,0
29.8,4,89.0,62,1845,1,0
43.4,4,90.0,48,2335,1,0
41.5,4,98.0,76,2144,1,0
44.3,4,90.0,48,2085,1,0
40.8,4,85.0,65,2110,0,1
32.7,6,168.0,132,2910,0,1
37.2,4,86.0,65,2019,0,1
37.0,4,119.0,92,2434,0,1
32.4,4,107.0,72,2290,0,1
44.6,4,91.0,67,1850,0,1
31.3,4,120.0,75,2542,0,1
46.6,4,86.0,65,2110,0,1
23.7,3,70.0,100,2420,0,1
33.8,4,97.0,67,2145,0,1
32.2,4,108.0,75,2265,0,1
38.1,4,89.0,60,1968,0,1
29.8,4,134.0,90,2711,0,1
22.4,6,231.0,110,3415,0,0
26.6,4,151.0,84,2635,0,0
23.5,6,173.0,110,2725,0,0
17.6,6,225.0,85,3465,0,0
25.8,4,156.0,92,2620,0,0
29.9,4,98.0,65,2380,0,0
34.4,4,98.0,65,2045,0,0
20.2,6,200.0,88,3060,0,0
26.6,8,350.0,105,3725,0,0
39.0,4,86.0,64,1875,0,0
34.7,4,105.0,63,2215,0,0
27.2,4,135.0,84,2490,0,0
30.0,4,135.0,84,2385,0,0
28.1,4,141.0,80,3230,1,0
33.0,4,105.0,74,2190,1,0
30.7,6,145.0,76,3160,1,0
32.9,4,119.0,100,2615,0,1
37.0,4,85.0,65,1975,0,1
24.2,6,146.0,120,2930,0,1
35.1,4,81.0,60,1760,0,1
33.7,4,107.0,75,2210,0,1
31.6,4,120.0,74,2635,0,1
34.1,4,91.0,68,1985,0,1
32.3,4,97.0,67,2065,0,1
32.4,4,108.0,75,2350,0,1
25.4,6,168.0,116,2900,0,1
39.1,4,79.0,58,1755,0,1
37.7,4,89.0,62,2050,0,1
25.0,6,181.0,110,2945,0,0
27.0,4,151.0,90,2950,0,0
28.0,4,112.0,88,2605,0,0
34.0,4,112.0,88,2395,0,0
27.0,4,112.0,88,2640,0,0
31.0,4,119.0,82,2720,0,0
26.0,4,156.0,92,2585,0,0
29.0,4,135.0,84,2525,0,0
36.0,4,135.0,84,2370,0,0
32.0,4,135.0,84,2295,0,0
24.0,4,140.0,92,2865,0,0
22.0,6,232.0,112,2835,0,0
27.0,4,140.0,86,2790,0,0
28.0,4,120.0,79,2625,0,0
36.0,4,98.0,70,2125,0,0
38.0,6,262.0,85,3015,0,0
38.0,4,105.0,63,2125,0,0
31.0,4,112.0,85,2575,0,0
27.0,4,151.0,90,2735,0,0
36.0,4,105.0,74,1980,1,0
44.0,4,97.0,52,2130,1,0
38.0,4,91.0,67,1995,0,1
36.0,4,107.0,75,2205,0,1
38.0,4,91.0,67,1965,0,1
32.0,4,91.0,67,1965,0,1
31.0,4,91.0,68,1970,0,1
37.0,4,91.0,68,2025,0,1
36.0,4,120.0,88,2160,0,1
32.0,4,144.0,96,2665,0,1
34.0,4,108.0,70,2245,0,1
